revid,timestamp,label,description,alias,action,language,property
696301240,2018-06-15T11:36:48Z,,,zh,add,zh,P1363
718775393,2018-07-31T13:33:26Z,fi,,,add,fi,P1363
581520440,2017-10-19T18:24:25Z,en,,,add,en,P4401
581522644,2017-10-19T18:30:45Z,,en,,update,en,P4401
583655119,2017-10-24T18:49:51Z,fr,,,add,fr,P4401
583655125,2017-10-24T18:49:51Z,,fr,,add,fr,P4401
583655130,2017-10-24T18:49:52Z,,,fr,add,fr,P4401
586414240,2017-10-30T15:04:28Z,pl,,,add,pl,P4401
610747219,2017-12-18T21:36:55Z,pt,,,add,pt,P4401
610747223,2017-12-18T21:36:55Z,,pt,,add,pt,P4401
610747226,2017-12-18T21:36:56Z,,,pt,add,pt,P4401
617473833,2018-01-07T17:11:12Z,uk,,,add,uk,P4401
639229537,2018-02-26T16:25:19Z,ar,,,add,ar,P4401
639229540,2018-02-26T16:25:19Z,,,ar,add,ar,P4401
642818570,2018-03-03T20:21:25Z,,uk,,add,uk,P4401
733080920,2018-08-24T19:34:03Z,fr,,,update,fr,P4401
295082095,2016-01-23T22:00:58Z,fr,,,add,fr,P2525
295082355,2016-01-23T22:01:58Z,en,,,add,en,P2525
295082357,2016-01-23T22:01:58Z,,en,,add,en,P2525
295282555,2016-01-24T09:20:34Z,ru,,,add,ru,P2525
295282570,2016-01-24T09:20:37Z,,,ru,add,ru,P2525
296482378,2016-01-27T09:49:37Z,nl,,,add,nl,P2525
302152642,2016-02-09T09:38:14Z,hu,,,add,hu,P2525
357326064,2016-07-14T11:37:10Z,mk,,,add,mk,P2525
398266397,2016-10-30T09:11:25Z,fr,,,update,fr,P2525
612888918,2017-12-23T19:19:13Z,uk,,,add,uk,P2525
617087491,2018-01-06T12:03:35Z,ar,,,add,ar,P2525
617087495,2018-01-06T12:03:36Z,,,ar,add,ar,P2525
622328409,2018-01-21T17:41:51Z,it,,,add,it,P2525
622328413,2018-01-21T17:41:52Z,,it,,add,it,P2525
622328422,2018-01-21T17:41:53Z,,,it,add,it,P2525
701119148,2018-06-23T10:48:05Z,ca,,,add,ca,P2525
701119157,2018-06-23T10:48:06Z,,ca,,add,ca,P2525
441054522,2017-02-02T19:35:38Z,en,,,add,en,P3573
441061857,2017-02-02T19:56:05Z,fr,,,add,fr,P3573
441061862,2017-02-02T19:56:06Z,,fr,,add,fr,P3573
443337354,2017-02-07T12:22:24Z,,,en,add,en,P3573
443337715,2017-02-07T12:23:26Z,nb,,,add,nb,P3573
443337719,2017-02-07T12:23:26Z,,nb,,add,nb,P3573
443337723,2017-02-07T12:23:26Z,,,en,add,en,P3573
443337726,2017-02-07T12:23:27Z,,,nb,add,nb,P3573
450287440,2017-02-17T11:41:59Z,nl,,,add,nl,P3573
466114290,2017-03-14T05:13:03Z,es,,,add,es,P3573
466114292,2017-03-14T05:13:03Z,,,es,add,es,P3573
482964033,2017-05-07T15:23:08Z,,,fr,add,fr,P3573
582778044,2017-10-22T21:02:13Z,nl,,,update,nl,P3573
582778070,2017-10-22T21:02:19Z,,,nl,add,nl,P3573
615515903,2018-01-01T11:46:10Z,uk,,,add,uk,P3573
625540708,2018-02-01T16:20:50Z,ar,,,add,ar,P3573
625540711,2018-02-01T16:20:51Z,,,ar,add,ar,P3573
664401842,2018-04-12T06:29:39Z,he,,,add,he,P3573
695997671,2018-06-15T00:35:51Z,,en,,update,en,P3573
695999319,2018-06-15T00:40:16Z,en,,,update,en,P3573
695999324,2018-06-15T00:40:16Z,,,en,update,en,P3573
705725635,2018-07-03T15:51:08Z,da,,,add,da,P3573
705725638,2018-07-03T15:51:08Z,,,da,add,da,P3573
705725685,2018-07-03T15:51:18Z,da,,,update,da,P3573
348365487,2016-06-17T05:21:19Z,nl,,,add,nl,P2914
349370611,2016-06-20T14:16:09Z,hu,,,add,hu,P2914
349545443,2016-06-21T13:28:19Z,es,,,add,es,P2914
349545448,2016-06-21T13:28:20Z,,,es,add,es,P2914
349697810,2016-06-22T05:26:08Z,fr,,,add,fr,P2914
349697814,2016-06-22T05:26:08Z,,fr,,add,fr,P2914
349697816,2016-06-22T05:26:09Z,,,fr,add,fr,P2914
354128533,2016-07-04T12:43:49Z,pl,,,add,pl,P2914
361113203,2016-08-01T13:57:32Z,mk,,,add,mk,P2914
366181061,2016-08-18T19:50:17Z,cy,,,add,cy,P2914
399111977,2016-11-01T00:41:49Z,nl,,,add,nl,P2914
477787036,2017-04-24T06:00:11Z,es,,,update,es,P2914
477787038,2017-04-24T06:00:11Z,,,es,update,es,P2914
497636615,2017-06-08T15:51:26Z,bn,,,add,bn,P2914
607530119,2017-12-12T08:35:49Z,fr,,,update,fr,P2914
614672337,2017-12-27T20:24:12Z,uk,,,add,uk,P2914
637962927,2018-02-24T17:11:58Z,,uk,,add,uk,P2914
671988200,2018-04-30T10:21:18Z,ar,,,add,ar,P2914
671988205,2018-04-30T10:21:19Z,,,ar,add,ar,P2914
684004714,2018-05-23T18:57:43Z,ko,,,add,ko,P2914
701702937,2018-06-24T07:36:53Z,ca,,,add,ca,P2914
152248642,2014-08-21T19:22:00Z,en,,,add,en,P1453
152353342,2014-08-22T09:26:34Z,ru,,,add,ru,P1453
152958074,2014-08-24T18:49:26Z,fr,,,add,fr,P1453
152958094,2014-08-24T18:49:31Z,,,fr,add,fr,P1453
153169642,2014-08-25T14:18:43Z,el,,,add,el,P1453
153169708,2014-08-25T14:19:04Z,,el,,add,el,P1453
155365735,2014-09-02T12:25:24Z,da,,,add,da,P1453
155471598,2014-09-02T17:33:45Z,pl,,,add,pl,P1453
155765896,2014-09-04T12:07:30Z,zh-hans,,,add,zh-hans,P1453
155765910,2014-09-04T12:07:38Z,,zh-hans,,add,zh-hans,P1453
155766276,2014-09-04T12:11:34Z,de,,,add,de,P1453
155766319,2014-09-04T12:12:02Z,,de,,add,de,P1453
159433987,2014-09-23T17:41:32Z,mk,,,add,mk,P1453
162624314,2014-10-08T13:21:52Z,fa,,,add,fa,P1453
162970172,2014-10-10T17:36:58Z,en,,,update,en,P1453
162970209,2014-10-10T17:37:25Z,nl,,,add,nl,P1453
162970215,2014-10-10T17:37:27Z,fy,,,add,fy,P1453
169782177,2014-11-01T11:04:56Z,ja,,,add,ja,P1453
178999816,2014-12-04T13:35:30Z,it,,,add,it,P1453
178999824,2014-12-04T13:35:35Z,,,it,add,it,P1453
178999860,2014-12-04T13:35:49Z,,it,,add,it,P1453
178999879,2014-12-04T13:35:57Z,,it,,update,it,P1453
186864143,2015-01-09T14:42:49Z,sr,,,add,sr,P1453
221268769,2015-06-05T15:14:20Z,bs,,,add,bs,P1453
254290959,2015-09-29T22:28:25Z,mk,,,update,mk,P1453
272531155,2015-11-16T08:39:28Z,be-tarask,,,add,be-tarask,P1453
272531156,2015-11-16T08:39:29Z,,,be-tarask,add,be-tarask,P1453
319714691,2016-04-07T20:18:22Z,en,,,update,en,P1453
319714695,2016-04-07T20:18:22Z,,,en,add,en,P1453
355077654,2016-07-07T02:37:26Z,cy,,,add,cy,P1453
355077655,2016-07-07T02:37:26Z,,,cy,add,cy,P1453
355077673,2016-07-07T02:37:49Z,,cy,,add,cy,P1453
355077678,2016-07-07T02:37:56Z,,cy,,update,cy,P1453
477470406,2017-04-23T05:04:39Z,es,,,add,es,P1453
477470408,2017-04-23T05:04:40Z,,,es,add,es,P1453
481001028,2017-05-03T13:46:11Z,fi,,,add,fi,P1453
